Hip,Mag,RA,Dec,RA_rad,Dec_rad
19,6.53,0.0533169,38.30408636,0.0009305554519565646,0.66853242395025
25,6.28,0.0793653,-44.29029741,0.0013851857968330556,-0.7730115164920169
50,6.49,0.1428705,-53.09766277,0.002493560628970559,-0.9267290404501125
88,5.71,0.26915955,-48.80985919,0.004697720360686304,-0.8518927503003125
106,6.22,0.33016455,49.98158501,0.005762458470865444,0.8723432237899429
107,5.53,0.3338022,-50.33739907,0.005825947440400615,-0.8785533506618315
122,4.78,0.39937920000000005,-77.06529438,0.006970482003980938,-1.345043125949682
124,5.58,0.40424534999999995,61.22280406,0.007055412343376858,1.068539508150352
128,6.5,0.41376465,73.61187664,0.007221555470861956,1.2847696159399007
133,6.62,0.42336885,-40.14866597,0.007389180382881996,-0.7007264114599029
137,6.25,0.43268924999999997,42.36714821,0.007551852050484874,0.739446230944922
145,5.13,0.45598905,-3.02747891,0.007958510275541049,-0.05283947501418908
154,4.37,0.48996494999999995,-6.01397169,0.008551501596869389,-0.10496360711222774
171,5.8,0.54018765,27.08448905,0.009428053071110748,0.472713510142851
183,5.04,0.5829755999999999,-29.72044805,0.010174843678789453,-0.5187196736404284
186,6.33,0.6006978000000001,8.9568336,0.010484154419486394,0.15632623687325678
194,5.7,0.62398935,8.48557854,0.010890668654879278,0.14810128445957335
207,5.87,0.6503424,66.09896341,0.011350616145321969,1.1536445436597587
258,6.59,0.80532795,17.55239698,0.014055624285836269,0.3063471189181093
274,6.24,0.8571540000000001,63.64052431,0.014960159496639477,1.1107366869049924
301,4.55,0.93488475,-17.33597002,0.016316817014184058,-0.30256975587602725
302,6.31,0.9651139500000001,66.71220273,0.01684441608442793,1.1643475888964496
330,5.9,1.0569321,62.2876646,0.01844694511501796,1.0871248306479169
343,5.78,1.0823388,-16.52888969,0.018890375682084404,-0.2884835467894449
355,4.99,1.1255097,-10.50949443,0.01964385002813362,-0.1834252805235047
365,6.11,1.15248375,42.09256148,0.0201146360132312,0.7346537884241373
377,5.59,1.1718883500000001,-71.43685835,0.020453310173263694,-1.2468083854883036
379,5.68,1.1743228499999998,67.16638761,0.02049580021390349,1.172274610465225
394,6.09,1.2217278,34.65955259,0.02132317267314678,0.6049233099636282
399,6.25,1.23302985,26.64879958,0.021520430657871806,0.46510929437508197
417,6.32,1.2658190999999999,-0.50290553,0.02209271102963135,-0.008777357324987118
418,5.8,1.2755523,61.31396468,0.022262587416386464,1.0701305611175114
443,4.61,1.3339407,-5.70783255,0.023281657241357924,-0.09962047115000387
476,5.55,1.42473225,13.39628227,0.02486626872184698,0.23380923313803997
522,5.7,1.5777633,-49.07509405,0.02753716440213105,-0.8565219718983786
531,5.57,1.61052855,64.19616859,0.02810902589487012,1.1204345090608656
544,6.07,1.6522104,29.02193518,0.02883651141569252,0.5065283241913732
560,6.19,1.7084355,-23.10742543,0.029817824532955582,-0.40330065541256643
631,6.83,1.9204891499999999,-65.93227482,0.033518858916327256,-1.1507352789387517
636,5.93,1.9452318000000002,-22.50847542,0.03395069962449584,-0.3928470056832135
655,5.67,2.01465525,-33.52933371,0.03516236740508949,-0.5851972692394256
677,2.07,2.0965332,29.09082805,0.03659140721737278,0.5077307316040216
699,6.21,2.170923,36.62742794,0.03788975415727286,0.639269214089964
716,6.24,2.2169537999999998,25.46285169,0.03869314317459986,0.4444105989375025
729,5.57,2.2597422,18.21202529,0.0394399416362602,0.3178598047669751
730,6.32,2.2597818,-54.00196301,0.03944063278664399,-0.9425120570646874
746,2.28,2.2920403499999997,59.15021814,0.0400036506960632,1.0323660598158761
760,6.01,2.33262015,79.71464113,0.040711901815864,1.3912829497641932
761,5.42,2.3375862,-27.9879039,0.04079857573918267,-0.48848107378676175
765,3.88,2.3522494500000004,-45.74698836,0.04105449773072574,-0.798435569753521
798,6.34,2.46706515,-62.29683686,0.04305840972870778,-1.0872849167847656
813,5.54,2.5091025,11.14580908,0.04379209989502102,0.19453106624468006
814,5.29,2.50945425,-82.22399743,0.043798239090664916,-1.4350794793048556
829,6.97,2.53330665,-78.3006603,0.044214542005167605,-1.3666043287206109
840,5.84,2.57853855,-5.24851713,0.04500398758710044,-0.09160390476582325
