Hip,Mag,RA,Dec,RA_rad,Dec_rad
3,6.61,0.0050079,38.85928608,8.740434361062404e-05,0.6782224870704006
19,6.53,0.0533169,38.30408636,0.0009305554519565646,0.66853242395025
25,6.28,0.0793653,-44.29029741,0.0013851857968330556,-0.7730115164920169
34,6.43,0.09946964999999999,26.91823821,0.0017360728983063774,0.46981188560064474
43,6.18,0.12908894999999998,59.55973786,0.0022530272054423336,1.0395135272817213
50,6.49,0.1428705,-53.09766277,0.002493560628970559,-0.9267290404501125
63,6.36,0.18174945,45.25333305,0.003172126316188808,0.7898196592240677
73,6.9,0.2204571,66.84796687,0.003847702254398391,1.1667171201455881
88,5.71,0.26915955,-48.80985919,0.004697720360686304,-0.8518927503003125
106,6.22,0.33016455,49.98158501,0.005762458470865444,0.8723432237899429
107,5.53,0.3338022,-50.33739907,0.005825947440400615,-0.8785533506618315
119,6.82,0.3902022,44.67544581,0.006810313138525417,0.779733624180805
121,6.83,0.39647669999999996,28.42377416,0.006919823822441802,0.49608844493528553
122,4.78,0.39937920000000005,-77.06529438,0.006970482003980938,-1.345043125949682
124,5.58,0.40424534999999995,61.22280406,0.007055412343376858,1.068539508150352
128,6.5,0.41376465,73.61187664,0.007221555470861956,1.2847696159399007
133,6.62,0.42336885,-40.14866597,0.007389180382881996,-0.7007264114599029
136,6.6,0.42864225,24.2531808,0.007481218575656663,0.4232978590414724
137,6.25,0.43268924999999997,42.36714821,0.007551852050484874,0.739446230944922
145,5.13,0.45598905,-3.02747891,0.007958510275541049,-0.05283947501418908
154,4.37,0.48996494999999995,-6.01397169,0.008551501596869389,-0.10496360711222774
159,6.93,0.5108110499999999,-2.76616306,0.008915334678069379,-0.04827865304404145
171,5.8,0.54018765,27.08448905,0.009428053071110748,0.472713510142851
179,6.9,0.5688622499999999,-13.40751554,0.009928519252803112,-0.2340052906853055
181,6.77,0.5738166,60.7031946,0.010014988972599293,1.0594706122488422
183,5.04,0.5829755999999999,-29.72044805,0.010174843678789453,-0.5187196736404284
186,6.33,0.6006978000000001,8.9568336,0.010484154419486394,0.15632623687325678
194,5.7,0.62398935,8.48557854,0.010890668654879278,0.14810128445957335
207,5.87,0.6503424,66.09896341,0.011350616145321969,1.1536445436597587
238,6.25,0.7392741,-20.04607402,0.012902767119717811,-0.3498699937474956
253,6.46,0.78257235,-24.14513788,0.013658464142569448,-0.42141215435400353
254,6.73,0.7846695,42.74791705,0.013695066314977645,0.7460919008919215
258,6.59,0.80532795,17.55239698,0.014055624285836269,0.3063471189181093
274,6.24,0.8571540000000001,63.64052431,0.014960159496639477,1.1107366869049924
277,6.96,0.8592787500000001,-36.25120504,0.014997243379921227,-0.6327028857635627
297,6.8,0.92444475,48.43692667,0.01613460464027585,0.8453838499385529
301,4.55,0.93488475,-17.33597002,0.016316817014184058,-0.30256975587602725
302,6.31,0.9651139500000001,66.71220273,0.01684441608442793,1.1643475888964496
330,5.9,1.0569321,62.2876646,0.01844694511501796,1.0871248306479169
343,5.78,1.0823388,-16.52888969,0.018890375682084404,-0.2884835467894449
345,6.38,1.08457455,-29.26883006,0.018929396880835864,-0.5108374527536894
355,4.99,1.1255097,-10.50949443,0.01964385002813362,-0.1834252805235047
365,6.11,1.15248375,42.09256148,0.0201146360132312,0.7346537884241373
377,5.59,1.1718883500000001,-71.43685835,0.020453310173263694,-1.2468083854883036
379,5.68,1.1743228499999998,67.16638761,0.02049580021390349,1.172274610465225
394,6.09,1.2217278,34.65955259,0.02132317267314678,0.6049233099636282
398,6.61,1.2290268,58.53217392,0.021450564255249844,1.021579153253956
399,6.25,1.23302985,26.64879958,0.021520430657871806,0.46510929437508197
410,6.47,1.2547263,27.67479979,0.021899105146366126,0.4830163761657353
417,6.32,1.2658190999999999,-0.50290553,0.02209271102963135,-0.008777357324987118
418,5.8,1.2755523,61.31396468,0.022262587416386464,1.0701305611175114
424,6.71,1.2907529999999998,45.22907883,0.022527889679994365,0.7893963432275647
432,6.88,1.30417875,35.57110311,0.022762213222043994,0.6208328678358948
441,6.93,1.33296705,-38.85723115,0.023264663843095876,-0.6781866217760025
443,4.61,1.3339407,-5.70783255,0.023281657241357924,-0.09962047115000387
448,6.91,1.3427128499999998,3.60610712,0.02343476014133674,0.06293844242361026
458,6.97,1.3676256,-7.66532823,0.02386956965456296,-0.13378521585956918
472,6.99,1.4154975,55.7099023,0.024705091928748438,0.9723212210993618
476,5.55,1.42473225,13.39628227,0.02486626872184698,0.23380923313803997
496,6.9,1.48628745,24.56904604,0.02594060963357059,0.4288107474720744
502,6.62,1.50224235,28.27696051,0.026219075170397035,0.4935260633559149
508,6.65,1.51773165,40.41853643,0.026489414454226198,0.7054365395407746
518,5.98,1.5647438999999999,58.43668966,0.0273099330054969,1.0199126385331256
522,5.7,1.5777633,-49.07509405,0.02753716440213105,-0.8565219718983786
525,6.93,1.5839337,40.89871965,0.02764485819829611,0.7138173177426027
531,5.57,1.61052855,64.19616859,0.02810902589487012,1.1204345090608656
540,6.68,1.6481067,28.55343687,0.028764888339178427,0.49835148614184405
544,6.07,1.6522104,29.02193518,0.02883651141569252,0.5065283241913732
560,6.19,1.7084355,-23.10742543,0.029817824532955582,-0.40330065541256643
567,6.91,1.7220696,-38.87768936,0.03005578446850174,-0.6785436848995671
602,6.2,1.82613855,-17.38703103,0.0318721302950951,-0.30346093861992096
619,6.87,1.8965693999999997,31.66904954,0.03310138052257334,0.5527291854501957
626,6.73,1.9080890999999998,40.14799609,0.033302437216415334,0.7007147198483097
631,6.83,1.9204891499999999,-65.93227482,0.033518858916327256,-1.1507352789387517
635,6.43,1.93373145,-2.54868621,0.0337499806518641,-0.04448296596467562
636,5.93,1.9452318000000002,-22.50847542,0.03395069962449584,-0.3928470056832135
655,5.67,2.01465525,-33.52933371,0.03516236740508949,-0.5851972692394256
664,6.18,2.05038285,-2.44769895,0.03578593165892501,-0.04272040577510806
671,5.99,2.07313605,-8.82402541,0.03618304991428979,-0.1540082966841426
677,2.07,2.0965332,29.09082805,0.03659140721737278,0.5077307316040216
695,6.41,2.1369498,63.20404897,0.037296809959834316,1.1031187551182307
696,6.11,2.1395322,-17.57804019,0.03734188134243783,-0.3067946773633896
699,6.21,2.170923,36.62742794,0.03788975415727286,0.639269214089964
714,6.82,2.2083262500000003,40.49456869,0.03854256402071943,0.706763552815507
716,6.24,2.2169537999999998,25.46285169,0.03869314317459986,0.4444105989375025
728,6.47,2.2506550499999998,28.24755645,0.0392813409491376,0.49301286569546104
729,5.57,2.2597422,18.21202529,0.0394399416362602,0.3178598047669751
730,6.32,2.2597818,-54.00196301,0.03944063278664399,-0.9425120570646874
737,6.93,2.264904,40.84327725,0.03953003204158965,0.7128496653173951
746,2.28,2.2920403499999997,59.15021814,0.0400036506960632,1.0323660598158761
760,6.01,2.33262015,79.71464113,0.040711901815864,1.3912829497641932
761,5.42,2.3375862,-27.9879039,0.04079857573918267,-0.48848107378676175
765,3.88,2.3522494500000004,-45.74698836,0.04105449773072574,-0.798435569753521
798,6.34,2.46706515,-62.29683686,0.04305840972870778,-1.0872849167847656
803,6.84,2.4792435,-2.5612296,0.04327096203366804,-0.04470188941953736
813,5.54,2.5091025,11.14580908,0.04379209989502102,0.19453106624468006
814,5.29,2.50945425,-82.22399743,0.043798239090664916,-1.4350794793048556
829,6.97,2.53330665,-78.3006603,0.044214542005167605,-1.3666043287206109
840,5.84,2.57853855,-5.24851713,0.04500398758710044,-0.09160390476582325
841,5.01,2.5801750500000002,46.07227117,0.04503254990030932,0.8041128257881602
857,6.74,2.62358025,57.16549747,0.045790113552795955,0.9977261493919883
858,6.83,2.6350695,33.1308857,0.045990638793880725,0.5782430395669063
860,6.7,2.64438285,59.67341444,0.04615318741577133,1.0414975578851282
865,6.66,2.65962285,-73.22443438,0.046419175593775265,-1.2780074728415327
873,5.84,2.6781057,-12.57980381,0.046741762181427504,-0.21955899573942717
881,6.89,2.6951682000000003,-34.86071198,0.047039558985049044,-0.6084342036404315
902,6.68,2.78289615,57.58791462,0.048570700558573994,1.0050987194763792
906,6.74,2.79012705,-3.32135959,0.04869690357145646,-0.05796866048818894
910,4.89,2.81628405,-15.46732287,0.049153429343900615,-0.26995571055051887
930,5.41,2.8934043,-27.7997782,0.05049943162636176,-0.4851976609141426
932,6.93,2.8970775,-18.60067836,0.05056354106044602,-0.3246430804864591
950,5.24,2.9328669,-35.13339606,0.051188183927759284,-0.6131934386542033
966,6.53,2.9838573,-42.17203471,0.0520781342946682,-0.736040857954832
967,6.18,2.99596725,48.15237121,0.052289492794420085,0.8404174202570259
969,6.58,3.0055003499999997,23.47174032,0.05245587677734195,0.40965914975710743
973,6.56,3.0125964,-13.81313737,0.0525797262137281,-0.24108472713677018
981,6.87,3.03354255,53.62391762,0.0529453054968447,0.9359139202872016
983,5.29,3.0414537,-17.93821766,0.053083381111963854,-0.31308096010639275
1009,6.5,3.1420161,44.70724772,0.05483852609567141,0.7802886722187279
1026,6.63,3.1998475500000003,46.09543717,0.05584787530937388,0.8045171487626771
1030,6.71,3.2093517,37.69366311,0.056013754019477294,0.6578785284070255
1046,6.66,3.26630955,-22.47020965,0.057007856036834344,-0.3921791420059027
1057,6.52,3.2896395000000003,16.92165199,0.05741504047866001,0.2953385421021506
1063,6.63,3.3026679,62.04092419,0.05764242895492683,1.082818398095696
1067,2.83,3.3089581499999996,15.18361593,0.0577522145282004,0.26500409033676087
1074,5.78,3.33145215,-84.99402068,0.058144808890144006,-1.4834255053741499
1076,6.24,3.34972155,26.98762497,0.058463670072507856,0.4710229130199359
1086,5.71,3.3788970000000003,41.03572671,0.05897287773575884,0.7162085420380802
1096,5.94,3.4259184,-26.02215399,0.059793555984656105,-0.45417226558647955
1099,6.14,3.4349148,-26.28498303,0.05995057278548252,-0.45875949770433544
1101,6.97,3.43792965,-48.68413239,0.06000319184443627,-0.8496984036823161
1102,6.86,3.4392408,-23.21460158,0.06002607572892379,-0.4051712321096778
1107,6.79,3.44829315,1.38362257,0.060184069041466705,0.024148769451405715
1118,6.91,3.48410145,59.99934311,0.060809041776008585,1.0471860863032743
1123,6.22,3.5095269,33.20608481,0.06125279959230978,0.5795555116309756
1126,6.97,3.51691845,-74.91206044,0.06138180647663556,-1.3074621041309922
1133,7.0,3.5374515,26.25887171,0.061740175804612184,0.45830376919829363
1140,6.66,3.5612937,-55.06959061,0.06215630069553118,-0.9611456738698525
1146,6.63,3.5866923,-62.77197869,0.06259958989092822,-1.095577706132217
1147,6.89,3.58685985,-21.19639424,0.06260251419008993,-0.3699468690387612
1158,5.13,3.6149677500000004,-7.78053784,0.06309308959091126,-0.13579600288400775
1161,6.95,3.61695915,-14.43147791,0.06312784607763545,-0.2518768054583299
1164,6.68,3.6403854,41.03258105,0.06353671127153078,0.7161536399139319
1168,4.79,3.6504504,20.2066972,0.06371237866074402,0.35267339709351914
1170,4.44,3.6601361999999997,-18.93268628,0.06388142776143367,-0.330437711833157
1176,6.63,3.6682872,-14.80514201,0.06402368954876374,-0.25839847429983126
1185,6.82,3.7010511,-14.17758298,0.06459552747955791,-0.24744550297570939
1191,5.77,3.72708885,-9.56955053,0.06504997194686905,-0.16702016468446843
1192,6.64,3.7324788,-3.02735083,0.06514404432088693,-0.05283723959648313
1193,6.25,3.73279425,22.28425185,0.06514954996201235,0.38893356612613755
1195,6.17,3.74253195,-34.90419374,0.0653195048885838,-0.6091931035169935
1196,6.02,3.7449236999999997,8.8210228,0.06536124880096837,0.15395589125348927
1208,6.34,3.7788651000000004,31.53573771,0.06595363798370478,0.5504024550848367
1215,6.35,3.7939776000000003,27.28347715,0.06621740086691241,0.47618650766013876
1233,6.76,3.8242800000000003,44.20339841,0.06674627751816875,0.7714948428253264
1249,6.98,3.91083195,5.84383899,0.06825689401969025,0.10199423133191998
1269,6.43,3.9786316499999996,61.00019736,0.06944022201655464,1.0646542882983527
1268,6.49,3.97890165,-75.91160944,0.06944493440553504,-1.324907525216009
1288,5.66,4.0366067999999995,-31.44632821,0.07045207926839224,-0.5488419649272748
1292,6.59,4.04683815,-79.85104079,0.07063065001281617,-1.393663572929794
1296,6.35,4.0578528,76.95076267,0.07082289192127096,1.343044170512243
1302,6.12,4.0895856,43.59510616,0.07137673376214781,0.7608781402484619
1319,6.12,4.14190515,8.24018997,0.07228988217280961,0.14381844596631277
1325,6.98,4.1642508,1.85057729,0.07267988733880787,0.032298666773133936
1330,6.67,4.1753475,-32.68837302,0.07287356128991394,-0.5705197363190823
1331,6.5,4.1764482,-20.21005714,0.07289277212899065,-0.3527320391091886
1333,6.99,4.17935505,36.62987437,0.07294350623235224,0.6393119123483837
1339,6.51,4.1903175,10.24475802,0.07313483707893749,0.1788047585190951
1342,6.78,4.2008043,-78.78009243,0.07331786626693562,-1.3749719979289603
1349,6.84,4.22329965,-52.6515923,0.07371048419082414,-0.918943642052694
1352,6.52,4.224885,49.46192856,0.07373815376812062,0.8632735077582177
1353,6.95,4.2290514,23.25623242,0.07381087116607572,0.40589782733804874
1354,5.74,4.23771165,61.53319397,0.07396202104262155,1.073956834044821
1366,4.61,4.27306515,38.68167915,0.07457905601972538,0.6751226613675415
1372,5.86,4.28766735,47.94741495,0.0748339124877601,0.8368402586974524
1392,6.66,4.35209745,8.87633388,0.07595842987014928,0.15492125171232327
1402,6.46,4.38621,-19.05108585,0.07655380618390048,-0.33250417416260253
1415,6.11,4.42944015,51.43309422,0.0773083146375315,0.8976768386274647
1421,6.19,4.4485221,1.68870485,0.07764135749273245,0.029473459726896963
1429,6.91,4.4634678,20.22702318,0.07790220916674775,0.35302815236821367
1439,6.54,4.48462695,12.77151352,0.07827150600117111,0.22290496138697063
1444,6.51,4.494303449999999,-13.45563887,0.07844039278624033,-0.23484520124082925
1456,6.83,4.53829425,46.21435458,0.07920817708682668,0.8065926491051212
1464,6.69,4.5706128,-21.1384553,0.07977224219379708,-0.3689356437706457
1465,6.07,4.5719385,11.20628336,0.07979538002369077,0.195586541543453
1469,6.67,4.5767277,-36.50989445,0.07987896733222728,-0.6372178677081042
1473,4.51,4.5821055,36.7853273,0.07997282764874103,0.6420250778087558
1486,6.97,4.6199286,62.20280486,0.08063296527705209,1.0856437487825306
1493,5.88,4.6592404499999995,31.51723388,0.08131908649460222,0.5500795023271075
1499,6.47,4.67342325,-8.05265094,0.08156662305175408,-0.14054527241681633
1501,6.1,4.6756250999999995,43.79114781,0.08160505258388911,0.7642997125120042
1502,6.33,4.6771746,-43.2355705,0.08163209646064877,-0.754603059203131
1562,3.56,4.8570126,-8.82382948,0.08477086168085034,-0.15400487706053914
1575,6.35,4.92324675,40.72950687,0.08592686567561013,0.7108639975951501
1587,6.96,4.9619982,-2.47897217,0.0866032060680321,-0.0432662264318086
1595,6.6,4.984514549999999,16.25090005,0.0869961905110635,0.2836317122850111
1598,6.97,5.0021382,38.22806865,0.08730378122978262,0.6672056646209238
1599,4.23,5.00797575,-64.8776232,0.08740566569753241,-1.1323281357082595
1600,6.73,5.0122074,-17.70041723,0.08747952192282445,-0.3089305596402344
1602,6.81,5.021101649999999,6.29261994,0.08763475586981993,0.10982693652964802
1603,6.53,5.02153815,48.86548463,0.08764237423200488,0.8528635973761831
1611,6.85,5.0438361,-13.06149298,0.08803154687594997,-0.22796605772712586
1630,5.89,5.1016332,30.93561514,0.08904029656905438,0.5399283403228066
1639,6.46,5.12884065,48.96864118,0.0895151561526261,0.8546640188186813
1642,7.0,5.13725235,45.50898081,0.0896619680133161,0.7942815543614159
1644,6.73,5.142140100000001,56.5569624,0.08974727534383048,0.9871052088066343
1645,5.38,5.1494343,8.19024803,0.08987458315012944,0.1429467946784793
1647,5.5,5.16267855,-69.62491154,0.0901057389195867,-1.2151839477827957
1652,6.8,5.1815187,61.87959637,0.0904345615686563,1.0800026964616312
1657,5.79,5.1897444,32.91122853,0.0905781271169376,0.5744092987247934
1660,6.78,5.2024047,-23.63022915,0.09079909103622784,-0.41242530166824104
1669,6.9,5.2254918,32.97816304,0.09120203694596503,0.5755775263075024
1670,6.57,5.22755265,10.97696797,0.09123800556385474,0.19158423296245813
1684,6.92,5.2676150999999996,-2.90961019,0.09193722722277034,-0.05078227776507779
1686,5.16,5.28010785,37.96869954,0.09215526684289888,0.6626788196734565
1706,5.96,5.3697615,-77.42685699,0.09372001822182949,-1.3513535839462862
1708,5.18,5.37990135,-28.98129509,0.09389699198998783,-0.5058190208125664
1715,6.86,5.39614305,38.18715974,0.09418046313110899,0.6664916694480217
1725,6.55,5.42684235,67.82302547,0.09471626699416649,1.1837351031154748
1728,5.61,5.442645000000001,-20.05799253,0.09499207526720678,-0.3500780109889275
